VAR,Variable,Unit,Country,Year,Value
PHARALIM,A-Alimentary tract and metabolism,NBPYEANB,Australia,2010,145.8
PHARALIM,A-Alimentary tract and metabolism,NBPYEANB,Australia,2011,151.5
PHARALIM,A-Alimentary tract and metabolism,NBPYEANB,Australia,2012,153.5
PHARALIM,A-Alimentary tract and metabolism,NBPYEANB,Australia,2013,150
PHARALIM,A-Alimentary tract and metabolism,NBPYEANB,Australia,2014,151.9
PHARALIM,A-Alimentary tract and metabolism,NBPYEANB,Australia,2015,151.3
PHARALIM,A-Alimentary tract and metabolism,NBPYEANB,Australia,2016,149.5
PHARALIM,A-Alimentary tract and metabolism,NBPYEANB,Australia,2017,149.3
PHARALIM,A-Alimentary tract and metabolism,NBPYEANB,Australia,2018,150.8
PHARALIM,A-Alimentary tract and metabolism,NBPYEANB,Australia,2019,144.2
PHARALIM,A-Alimentary tract and metabolism,NBPYEANB,Australia,2020,139.2
PHARPEPT,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,Australia,2010,68.8
PHARPEPT,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,Australia,2011,71.5
PHARPEPT,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,Australia,2012,73.3
PHARPEPT,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,Australia,2013,76.2
PHARPEPT,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,Australia,2014,77.8
PHARPEPT,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,Australia,2015,77.5
PHARPEPT,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,Australia,2016,78
PHARPEPT,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,Australia,2017,77.3
PHARPEPT,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,Australia,2018,76
PHARPEPT,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,Australia,2019,68.3
PHARPEPT,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,Australia,2020,62.4
PHARDIAB,A10-Drugs used in diabetes,NBPYEANB,Australia,2010,57.8
PHARDIAB,A10-Drugs used in diabetes,NBPYEANB,Australia,2011,59.6
PHARDIAB,A10-Drugs used in diabetes,NBPYEANB,Australia,2012,60.5
PHARDIAB,A10-Drugs used in diabetes,NBPYEANB,Australia,2013,57.5
PHARDIAB,A10-Drugs used in diabetes,NBPYEANB,Australia,2014,57.5
PHARDIAB,A10-Drugs used in diabetes,NBPYEANB,Australia,2015,57.5
PHARDIAB,A10-Drugs used in diabetes,NBPYEANB,Australia,2016,56.7
PHARDIAB,A10-Drugs used in diabetes,NBPYEANB,Australia,2017,57.1
PHARDIAB,A10-Drugs used in diabetes,NBPYEANB,Australia,2018,57.8
PHARDIAB,A10-Drugs used in diabetes,NBPYEANB,Australia,2019,57.5
PHARDIAB,A10-Drugs used in diabetes,NBPYEANB,Australia,2020,60
PHARBLOO,B-Blood and blood forming organs,NBPYEANB,Australia,2010,44.5
PHARBLOO,B-Blood and blood forming organs,NBPYEANB,Australia,2011,43.4
